ABHD10	PITRM1
ABHD10	NME4
ABHD10	SUCLG1
ABHD12	GPR182
ABHD12	CA9
ABHD14A	PFAS
ABHD14A	GGT7
ABHD14A	CEACAM21
ABHD14A	IL13RA2
ABHD14A	GPR35
ABHD14A	F2RL1
ABHD14A	PTCH1
ABHD14A	SLC39A5
ABHD14A	SLC39A12
ABHD14B	DUSP2
ABHD16A	MCOLN3
ABHD16A	AQP6
ABHD16A	ITGAM
ABHD16A	WBP1L
ABHD16A	PTGS2
ABHD16A	ATP5PF
ABHD16A	PILRB
ABHD16A	ATP5MC3
ABHD16A	SLC30A2
ABHD16A	TMEM139
ABHD16A	LTA
ABHD16A	TMEM14B
ABHD16A	ERGIC3
ABHD16A	CYP1A2
ABHD16A	SLC10A1
ABHD16A	TM4SF19
ABHD16A	IFITM3
ABHD16A	DNAJC1
ABHD16A	AQP7
ABHD16A	UPF1
ABHD16A	RHBDL1
ABHD16A	GYPC
ABHD16A	SLC7A8
ABHD17A	GPC4
ABHD17B	TMPRSS11B
ABHD5	MIEF1
ABHD5	HMOX2
ABHD5	SH3GLB1
ABHD5	PNPLA2
ABHD5	PLIN1
ABHD5	TPD52L2
ABHD5	PLIN2
ABHD5	CERCAM
ABHD5	RNF24
ABHD5	ZPR1
ABHD5	ATG16L1
ABHD6	FIS1
ABHD6	CKMT2
ABI1	KTN1
ABI1	TUBA1B
ABI1	NIN
ABI1	FXR1
ABI1	TUBB
ABI1	RCOR3
ABI1	MYO1C
ABI1	RYK
ABI1	VASP
ABI1	FHL2
ABI1	CTTN
ABI1	HNRNPK
ABI1	DNM2
ABI1	BAIAP2
ABI1	SRC
ABI1	MINK1
ABI1	ENAH
ABI1	SPTAN1
ABI1	ESR2
ABI1	CCDC57
ABI1	GRB10
ABI1	TCERG1
ABI1	HSPA6
ABI1	PIK3R3
ABI1	DTNB
ABI1	CAD
ABI1	PCM1
ABI1	GRB2
ABI1	PRPS1
ABI1	CDK6
ABI1	HHEX
ABI1	CBLC
ABI1	CRK
ABI1	RASA1
ABI1	TTC23
ABI1	CYFIP2
ABI1	CYFIP1
ABI1	SOS1
ABI1	EPS8
ABI1	CDC123
ABI1	CDH1
ABI1	MKI67
ABI1	PPP2R1A
ABI1	WASF2
ABI1	FAM124B
